name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult

"Obsession", "8.1", "110619", "https://www.imdb.com/title/tt37287335/", "https://m.media-amazon.com/images/M/MV5BYzc1NWUwMDgtNGZlMS00ZmYzLWIzMzktNmMxMmY1MTUzNWExXkEyXkFqcGc@._V1_.jpg", "After breaking the mysterious &quot;One Wish Willow&quot; to win his crush&apos;s heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.", "Horror, Romance, Thriller", "108", "R", "wish, crush, hopeless romantic, obsession, pizza", "US", "2", "DOWN 1", "Curry Barker", "", "Michael Johnston, Inde Navarrette, Cooper Tomlinson", "Michael Johnston, Inde Navarrette, Cooper Tomlinson, Megan Lawless", "USD 750,000", "USD 17,196,855", "USD 191,556,910", "USD 290,347,910", "Los Angeles, California, USA", "English", "D-Cinema 48kHz 5.1, Dolby Atmos, Dolby Digital", "1.50 : 1", "Color", "5", "4", "Movie", "False", "False", "False"
"Disclosure Day", "6.7", "57907", "https://www.imdb.com/title/tt15047880/", "https://m.media-amazon.com/images/M/MV5BMTgwNDI1ZjctYWNmMS00MTJhLTg1ZWItMzI1Yjk5NjZkYWFkXkEyXkFqcGc@._V1_.jpg", "If you found out we weren&apos;t alone, if someone showed you, proved it to you, would that frighten you?", "Action, Drama, Mystery", "145", "PG-13", "supernatural fantasy, extreme close up of eyes, close up of eyes, suspense mystery, british actor playing american character", "US", "1", "UP 7", "Steven Spielberg", "David Koepp, Steven Spielberg", "Emily Blunt, Josh O'Connor, Colin Firth", "Emily Blunt, Josh O'Connor, Colin Firth, Eve Hewson", "USD 115,000,000", "USD 44,530,925", "USD 48,729,385", "USD 98,196,385", "New Jersey, USA", "English", "70 mm 6-Track, Dolby Atmos, Dolby Surround 5.1, IMAX 6-Track, Dolby Surround 7.1", "2.39 : 1", "Color", "1", "3", "Movie", "False", "False", "False"
"Toy Story 5", "7.7", "14753", "https://www.imdb.com/title/tt29355505/", "https://m.media-amazon.com/images/M/MV5BZTI1YTBiNmEtYWUxZi00YzFkLWIzNjMtMmZjMmY2NzM0ZWMzXkEyXkFqcGc@._V1_.jpg", "Woody, Buzz, Jessie and the rest of the gang&apos;s jobs are challenged when they&apos;re introduced to electronics, a new threat to playtime.", "Animation, Adventure, Comedy", "102", "PG", "sequel, talking toy, buzz lightyear character, dinosaur, cowboy toy", "US", "15", "UP 10", "", "Andrew Stanton, McKenna Harris", "Tom Hanks, Tim Allen, Joan Cusack", "Tom Hanks, Tim Allen, Joan Cusack, Conan O'Brien", "", "", "", "", "Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA", "English", "Sonics-DDP, Auro 11.1, D-Cinema 96kHz Dolby Surround 7.1, Dolby Atmos, Dolby Digital, 12-Track Digital Sound, Dolby Surround 7.1, D-Cinema 96kHz 7.1, DTS:X", "1.85 : 1", "", "0", "2", "Movie", "False", "False", "False"
"Voicemails for Isabelle", "7.6", "7073", "https://www.imdb.com/title/tt10375624/", "https://m.media-amazon.com/images/M/MV5BMTE3MmE2MTYtMjA4OC00ZTIxLWFlNWYtZjk4ZTBkZDdiYzU0XkEyXkFqcGc@._V1_.jpg", "Jill leaves voice messages to her deceased sister telling her about her chaotic life in San Francisco. Unwittingly, a mysterious Austin real estate agent begins to receive their confessions..", "Comedy, Drama, Romance", "118", "TV-14", "feel good romance, romantic comedy, brief male rear nudity, brief male nudity, man peeing", "US", "4", "UP 546", "Leah McKendrick", "", "Zoey Deutch, Nick Robinson, Harry Shum Jr.", "Zoey Deutch, Nick Robinson, Harry Shum Jr., Leah McKendrick", "", "", "", "", "Vancouver, British Columbia, Canada", "English", "Dolby Digital", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Backrooms", "7.1", "80373", "https://www.imdb.com/title/tt26657236/", "https://m.media-amazon.com/images/M/MV5BYzQyYjZmMjctMzIyZi00MDI0LWJhNGQtMzQ3MTFlNDgwNGM5XkEyXkFqcGc@._V1_.jpg", "After a therapist&apos;s patient disappears into a dimension beyond reality, she must venture into the unknown to save him.", "Horror, Sci-Fi, Thriller", "110", "R", "creepypasta, psychological horror, backrooms, analog horror, liminal space", "US", "3", "DOWN 1", "Kane Parsons", "Will Soodik, Kane Parsons", "Chiwetel Ejiofor, Renate Reinsve, Mark Duplass", "Chiwetel Ejiofor, Renate Reinsve, Mark Duplass, Finn Bennett", "USD 10,000,000", "USD 81,402,424", "USD 160,295,784", "USD 249,405,882", "15 King Edward Street, Coquitlam, British Columbia, Canada", "English, Portuguese, Turkish, Arabic, Japanese", "Dolby Atmos", "1.85 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Michael", "7.5", "133123", "https://www.imdb.com/title/tt11378946/", "https://m.media-amazon.com/images/M/MV5BNzllNmRlN2EtMDQyOC00ODJjLTg4OWQtZDNmNGU3YzlkNjc1XkEyXkFqcGc@._V1_.jpg", "The early life of musician Michael Jackson, from the discovery of his talent as the lead of the Jackson Five to the artist whose creative ambition fueled a pursuit to become the biggest entertainer in the world.", "Biography, Drama, History", "127", "PG-13", "michael jackson character, king of pop, based on true story, song, based on real people", "US", "5", "UP 1", "Antoine Fuqua", "", "Jaafar Jackson, Nia Long, Colman Domingo", "Jaafar Jackson, Nia Long, Colman Domingo, Juliano Valdi", "USD 155,000,000", "USD 97,206,874", "USD 363,503,053", "USD 934,666,053", "Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA", "English", "Dolby Digital, IMAX 6-Track, IMAX 5.0, Dolby Atmos, Dolby Surround 7.1", "1.85 : 1", "Color", "2", "4", "Movie", "False", "False", "False"
"Masters of the Universe", "7", "31617", "https://www.imdb.com/title/tt0427340/", "https://m.media-amazon.com/images/M/MV5BMTJjYTFkM2EtZjBmNy00OTk2LTg0NTAtNzYxYzlmNjhkMzQ5XkEyXkFqcGc@._V1_.jpg", "A young man on Earth discovers a fabulous secret legacy as the prince of an alien planet, and must recover a magic sword and return home to protect his kingdom.", "Action, Adventure, Fantasy", "140", "PG-13", "masters of the universe, beefcake, superhero, bare chested male, magical sword", "US", "4", "DOWN 1", "Travis Knight", "Chris Butler, Aaron Nee, Adam Nee", "Nicholas Galitzine, Camila Mendes, Idris Elba", "Nicholas Galitzine, Camila Mendes, Idris Elba, Jared Leto", "USD 170,000,000", "USD 29,439,929", "USD 47,954,708", "USD 87,354,708", "Wells Cathedral, Wells, England, UK", "English", "Dolby Atmos, Dolby Digital, IMAX 6-Track", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Spider-Man: Brand New Day", "0", "0", "https://www.imdb.com/title/tt22084616/", "https://m.media-amazon.com/images/M/MV5BOWNjYWM3NWItOGE0ZS00MWRjLThiZWEtYjc4ZmNmMmU5ZTVmXkEyXkFqcGc@._V1_.jpg", "A forgotten Peter Parker lives alone as a full-time Spider-Man until mounting pressure triggers a dangerous change and a powerful new enemy emerges.", "Action, Adventure, Fantasy", "150", "PG-13", "shared universe, spider man character, 3d, 3 dimensional, supervillain", "US", "38", "UP 8", "Destin Daniel Cretton", "Chris McKenna, Erik Sommers, Justin Kuritzkes", "Tom Holland, Zendaya, Sadie Sink", "Tom Holland, Zendaya, Sadie Sink, Jacob Batalon", "", "", "", "", "Glasgow, Scotland, UK", "English", "IMAX 6-Track, Dolby Atmos, Dolby Digital, Dolby Surround 7.1", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Project Hail Mary", "8.2", "366206", "https://www.imdb.com/title/tt12042730/", "https://m.media-amazon.com/images/M/MV5BNTkwNzJiYTctNzI3NC00NjE1LTlhYjktY2Q5MTdmMWFmNzcxXkEyXkFqcGc@._V1_.jpg", "A science teacher wakes up alone on a spaceship. As his memory returns, he uncovers a mission to stop a mysterious substance killing Earth&apos;s sun, and realizes that an unexpected friendship may be the key.", "Adventure, Comedy, Drama", "156", "PG-13", "outer space, alien, space sci fi, astronaut, teacher", "US", "9", "FLAT 0", "", "Drew Goddard, Andy Weir", "Ryan Gosling, Sandra Hüller, James Ortiz", "Ryan Gosling, Sandra Hüller, James Ortiz, Lionel Boyce", "USD 200,000,000", "USD 80,506,007", "USD 343,810,983", "USD 681,624,656", "South Parade Pier, Southsea, Portsmouth, Hampshire, England, UK", "English", "Dolby Atmos, IMAX 6-Track, Dolby Digital", "2.00 : 1", "Color", "1", "5", "Movie", "False", "False", "False"
