name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult

"I Will Find You", "7.2", "13134", "https://www.imdb.com/title/tt34771210/", "https://m.media-amazon.com/images/M/MV5BYWFkOGU5ZTYtZTlhMi00NThiLWI3ZDEtMGQ2Y2UzNjlkZTUxXkEyXkFqcGc@._V1_.jpg", "A father imprisoned for his son&apos;s murder receives evidence suggesting his child may be alive, compelling him to escape and uncover the truth.", "Crime, Drama, Mystery", "0", "TV-MA", "tv mini series, based on novel, innocent, murder, criminal", "US", "1", "UP 171", "", "", "Sam Worthington, Britt Lower, Chi McBride", "Sam Worthington, Britt Lower, Chi McBride, Logan Browning", "", "", "", "", "Kingston, Ontario, Canada", "English", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "TV Mini Series", "True", "False", "False"
"Widow&apos;s Bay", "8.2", "33764", "https://www.imdb.com/title/tt33332385/", "https://m.media-amazon.com/images/M/MV5BZDBiMWZlMDQtNzkzMi00YzQzLTkwNTUtNzYwOGY3YmUxNDJjXkEyXkFqcGc@._V1_.jpg", "A skeptical mayor leads the superstitious residents of a cursed New England island.", "Comedy, Drama, Horror", "0", "TV-MA", "new england, fog, widower, island, folk horror", "US", "2", "FLAT 0", "", "", "Matthew Rhys, Kate O'Flynn, Kevin Carroll", "Matthew Rhys, Kate O'Flynn, Kevin Carroll, Dale Dickey", "", "", "", "", "Devens, Massachusetts, USA", "English", "Dolby Atmos", "1.85 : 1", "Color", "0", "6", "TV Series", "True", "False", "False"
"Off Campus", "7.9", "37331", "https://www.imdb.com/title/tt33546863/", "https://m.media-amazon.com/images/M/MV5BMDA0NzAzNDktYjBiOS00ZjFjLThhZTYtNzlkMDMzOTgxZTk5XkEyXkFqcGc@._V1_.jpg", "A college-set romantic drama chronicling the unexpected love story between a music student and the university&apos;s star hockey player, exploring themes of love and the complexities of adulthood through deep friendships and enduring b...", "Drama, Romance, Sport", "0", "TV-MA", "male nudity, college, based on novel, heterosexual romance, sex scene", "US", "3", "DOWN 2", "", "", "Ella Bright, Belmont Cameli, Mika Abdalla", "Ella Bright, Belmont Cameli, Mika Abdalla, Stephen Kalyn", "", "", "", "", "Vancouver, British Columbia, Canada", "English", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"From", "7.8", "191899", "https://www.imdb.com/title/tt9813792/", "https://m.media-amazon.com/images/M/MV5BNDAwNDljNWEtNWE1Zi00YjFlLWEzM2UtY2E3ZTM1MTcxMTcyXkEyXkFqcGc@._V1_.jpg", "A town with a hidden secret experiences strange occurrences that intensify at night. Mysterious forces disrupt everyday routines as residents try to preserve stability and community while attempting to comprehend their surroundings.", "Drama, Horror, Mystery", "0", "TV-MA", "small town, supernatural horror, trapped, forest, creature", "US", "4", "FLAT 0", "", "", "Harold Perrineau, Catalina Sandino Moreno, David Alpay", "Harold Perrineau, Catalina Sandino Moreno, David Alpay, Elizabeth Saunders", "", "", "", "", "Colony House, 451 Fennerty Crescent, Beaver Bank, Canada", "English", "Dolby Digital", "2.00 : 1", "Color", "2", "32", "TV Series", "True", "False", "False"
"Re:Zero kara Hajimeru Isekai Seikatsu", "8.2", "72289", "https://www.imdb.com/title/tt5607616/", "https://m.media-amazon.com/images/M/MV5BZWI4OTVkNDgtOTBmMC00M2I3LTk3NTctOWY3NmRkODIxMDViXkEyXkFqcGc@._V1_.jpg", "After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat it...", "Animation, Adventure, Drama", "0", "TV-MA", "femboy, isekai, anime, based on light novel, dark fantasy", "JP", "5", "UP 15", "", "", "Yûsuke Kobayashi, Sean Chiplock, Rie Takahashi", "Yûsuke Kobayashi, Sean Chiplock, Rie Takahashi, Kayli Mills", "", "", "", "", "", "Japanese, English, Spanish, Portuguese, French, German", "Dolby Digital, Dolby Surround 7.1", "1.78 : 1, 2.35 : 1", "Color", "41", "57", "TV Series", "True", "False", "False"
"Dutton Ranch", "8.4", "10956", "https://www.imdb.com/title/tt34991493/", "https://m.media-amazon.com/images/M/MV5BMzk0YTExY2EtYzI1NS00M2ZlLWFjOGUtMTQyMDY1MmE2ZGViXkEyXkFqcGc@._V1_.jpg", "Beth Dutton and Rip Wheeler fight to survive on their cherished 7,000-acre ranch amid tough times and stiff competition, while ensuring young Carter becomes the man he&apos;s supposed to be.", "Drama, Western", "0", "TV-MA", "yellowstone franchise, boots, knee high boots", "US", "6", "FLAT 0", "", "", "Kelly Reilly, Cole Hauser, Finn Little", "Kelly Reilly, Cole Hauser, Finn Little, Juan Pablo Raba", "", "", "", "", "Fort Worth, Texas, USA", "English", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"House of the Dragon", "8.3", "535305", "https://www.imdb.com/title/tt11198330/", "https://m.media-amazon.com/images/M/MV5BZGM4MTczODQtNGIxOC00Y2U2LTk1YmItNzA2N2VhYmE0Y2YwXkEyXkFqcGc@._V1_.jpg", "An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.", "Action, Adventure, Drama", "0", "TV-MA", "dragon, male rear nudity, kingdom, dysfunctional family, prequel", "US", "7", "UP 6", "", "", "Matt Smith, Emma D'Arcy, Olivia Cooke", "Matt Smith, Emma D'Arcy, Olivia Cooke, Fabien Frankel", "", "", "", "", "Monsanto, Castelo Branco, Portugal", "English", "Dolby Atmos, Dolby Digital", "2.00 : 1", "Color", "23", "99", "TV Series", "True", "False", "False"
"Cape Fear", "7", "4761", "https://www.imdb.com/title/tt34675596/", "https://m.media-amazon.com/images/M/MV5BYmZkOTkxNjAtZDY2MS00NTM3LTgwYWItMmNhMzFjMTBlOGI5XkEyXkFqcGc@._V1_.jpg", "A happily married couple faces a growing threat when a notorious killer from their past, Max Cady, is released from prison and seeks revenge.", "Crime, Drama, Thriller", "0", "TV-MA", "psychological thriller", "US", "8", "DOWN 5", "", "", "Amy Adams, Javier Bardem, Patrick Wilson", "Amy Adams, Javier Bardem, Patrick Wilson, Lily Collias", "", "", "", "", "Atlanta, Georgia, USA", "English", "Dolby Digital", "2.35 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Spider-Noir", "7.8", "48103", "https://www.imdb.com/title/tt30460310/", "https://m.media-amazon.com/images/M/MV5BYjU3NjEwNTItMzc1Mi00Y2QyLTljNDItOTQ4YjU4NjZjN2EyXkEyXkFqcGc@._V1_.jpg", "Ben Reilly, a seasoned, down-on-his-luck private investigator in 1930s New York, is forced to grapple with his past life, following a deeply personal tragedy, as the city&apos;s one and only superhero.", "Action, Adventure, Crime", "0", "TV-14", "based on comic, spider man noir character, character name in series title, marvel, based on comic book", "US", "9", "DOWN 4", "", "", "Nicolas Cage, Lamorne Morris, Li Jun Li", "Nicolas Cage, Lamorne Morris, Li Jun Li, Karen Rodriguez", "", "", "", "", "Fort MacArthur, San Pedro, Los Angeles, California, USA", "English", "Dolby Atmos, Dolby Digital", "1.85 : 1", "Color, Black and White", "0", "0", "TV Series", "True", "False", "False"
